river,reach,upper,lower,note,tmp_c_Tw8_0_00_1
Coldwater River,CW1,701786541,701773410,Coldwater Lower,15.8
Coldwater River,CW2,701794294,701786765,Coldwater Upper,14.8
Nicola River,N1,701771513,701746017,thompson to spius,18
Nicola River,N2,701773408,701771576,spius to coldwater,17.6
Nicola River,N3,701769310,701773405,coldwater to lake,17.7
Nicola River,N4,702596899,701769277,Upper Nicola,16.9
Guichon Creek,GU1,701304957,701311285,Guichon Creek,16.1
Skuhun Creek,SK1,701761370,701761370,Skuhun Creek,14.7
Spius Creek,SP1,701778061,701771514,Spius Lower,15.2
Spius Creek,SP2,701786405,701778125,Spius Upper,14.2
Spius Creek,MA1,701790346,701784025,Maka Creek,13.7
Thompson River,T1,703309203,703312321,Kamloops Lake to Bonaparte River,19.1
Thompson River,T2,703312878,703337177,Bonaparte to Nicola River,19.1
Thompson River,T3,703337331,703346284,Nicola River to Fraser River,19.1
